genre,tempo,key,mode,mood,complexity
pop,128,C,major,upbeat,simple
pop,120,G,major,happy,simple
pop,132,D,major,energetic,simple
jazz,90,F,dorian,complex,high
jazz,110,Bb,minor,smooth,medium
jazz,85,Eb,dorian,complex,high
ambient,65,Am,minor,chill,medium
ambient,70,Em,phrygian,atmospheric,high
ambient,72,Dm,minor,relaxed,low
rock,140,E,minor,energetic,medium
rock,138,A,minor,aggressive,medium
rock,145,D,major,upbeat,simple
electronic,128,Cm,minor,danceable,medium
electronic,130,Gm,minor,energetic,high
electronic,126,Dm,minor,upbeat,medium
blues,95,A,mixolydian,soulful,medium
blues,88,E,mixolydian,melancholic,low
classical,100,C,major,elegant,high
classical,80,Am,minor,dramatic,high
folk,110,G,major,warm,simple
folk,105,D,major,nostalgic,simple
r&b,85,F,minor,smooth,medium
r&b,78,A#,minor,romantic,medium
r&b,92,G,minor,soulful,medium
rap,90,D,minor,energetic,medium
rap,95,A,minor,aggressive,high
rap,88,C,minor,dark,medium
metal,165,E,minor,aggressive,high
metal,172,B,minor,intense,high
country,108,G,major,warm,simple
country,112,D,major,upbeat,simple
country,98,A,major,nostalgic,simple
reggae,82,A#,mixolydian,relaxed,simple
reggae,78,G,major,uplifting,simple
latin,130,A,minor,passionate,medium
latin,135,D,minor,energetic,medium
soul,88,F,major,emotional,medium
soul,94,C,major,uplifting,medium
soul,76,A#,major,melancholic,medium
